County,Democratic Votes,Republican Votes,Total Votes,Population
Terrell,"2,376","2,004","4,416","8,654"
Thomas,"8,708","12,969","21,877","44,545"
Tift,"5,318","10,784","16,280","40,590"
Toombs,"2,938","7,873","10,914","26,947"
Towns,"1,550","6,384","7,979","11,815"
Treutlen,952,"2,101","3,077","6,787"
Troup,"11,577","18,142","30,057","70,095"
Turner,"1,409","2,349","3,791","7,920"
Twiggs,"2,044","2,370","4,444","8,195"
Union,"2,800","12,650","15,562","23,999"
Upson,"4,203","8,606","12,907","26,329"
Walker,"5,770","23,173","29,374","69,398"
Walton,"12,683","37,839","51,098","93,284"
Ware,"4,169","9,903","14,189","35,745"
Warren,"1,468","1,166","2,650","5,259"
Washington,"4,743","4,668","9,480","20,316"
Wayne,"2,688","9,987","12,782","29,959"
Webster,640,748,"1,391","2,587"
Wheeler,689,"1,583","2,285","7,897"
White,"2,411","12,222","14,831","29,962"
Whitfield,"10,680","25,644","36,766","104,122"
Wilcox,861,"2,402","3,279","8,701"
Wilkes,"2,160","2,823","5,031","9,797"
Wilkinson,"2,074","2,665","4,770","8,945"
Worth,"2,395","6,830","9,285","20,346"
